"zip","renter","hs_graduate","college_graduate","median_household_income"
"01581","0.31003294065099657","0.1449816961561928","0.36874618669920683","101467.0"
"01583","0.14312267657992564","0.2814935653434838","0.2091716512597426","68648.0"
"01585","0.21492403932082216","0.42435747663551404","0.1875","61029.0"
"01588","0.34940138626339007","0.2770249461040961","0.2077302125038497","65926.0"
"01590","0.07880794701986756","0.25665899375205525","0.2530417625780993","108547.0"
"01602","0.36400644180012526","0.22794164087665003","0.25162635002842165","59770.0"
"01603","0.47455331562223263","0.3265826473373643","0.12581044656516355","43329.0"
"01604","0.5314851255932399","0.3329188942765966","0.19068341000455882","48212.0"
"01605","0.6495074438930449","0.31064512432680186","0.16483327603987624","36429.0"
"01606","0.29713407269133635","0.2654196157735086","0.24859165101834466","63646.0"
"01607","0.49444073826995777","0.32602177686602496","0.21287675556256905","45170.0"
"01608","0.9683898584129075","0.29356357927786497","0.13186813186813187","22789.0"
"01609","0.5519614147909968","0.204300139275766","0.2096100278551532","43729.0"
"01610","0.8178973105134474","0.36749851455733806","0.08771538918597742","31019.0"
"01611","0.31962025316455694","0.3290717065036131","0.19232907170650362","83802.0"
"01612","0.1063731170336037","0.12137975919297103","0.25968109339407747","92500.0"
"01701","0.17857953256183345","0.2004955782458239","0.3379330969368138","91430.0"
"01702","0.6267316793345762","0.2675417661097852","0.2322593476531424","51985.0"
"01718","","","","135982.0"
"01719","0.19162262673713054","0.08361774744027303","0.3304891922639363","102699.0"
"01720","0.17275357078286024","0.07012494276182377","0.31255314973506904","124836.0"
"01721","0.15211970074812967","0.1751696406132194","0.31909189913713665","102911.0"
"01730","0.23444108761329305","0.10002066542674107","0.28652614176482744","113729.0"
"01731","0.99591211037302","","","81667.0"
"01740","0.058266129032258064","0.15591397849462366","0.3342293906810036","147446.0"
"01741","0.02863914675093818","0.05552375500858615","0.37092157985117347","166111.0"
"01742","0.18333818817360908","0.1307287218901224","0.29654141759180186","133880.0"
"01745","","","","118125.0"
"01746","0.1080042689434365","0.1324607329842932","0.35905759162303663","108869.0"
"01747","0.1854071201973916","0.23299277348616995","0.31672065786194864","95268.0"
"01748","0.0881255628457481","0.13543065413389602","0.36984461922117784","138551.0"
"01749","0.21602805425197255","0.2708990259967767","0.234041062294163","75985.0"
"01752","0.3945054945054945","0.2899165656421593","0.22363260357983314","71790.0"
"01754","0.2550082260718088","0.2529274004683841","0.2729638303408795","88333.0"
"01756","0.07602239945698286","0.19571944301186178","0.2821041774110366","108942.0"
"01757","0.33558742926291063","0.28028033111573813","0.23305063226854908","70162.0"
"01760","0.2161395211350872","0.13040610183467327","0.3555967841682127","100922.0"
"01770","0.053216650898770104","0.07577903682719547","0.38208215297450426","155956.0"
"01772","0.07646932646932647","0.12224352828379674","0.3927772451262384","145179.0"
"01773","0.15156727828746178","0.05439330543933055","0.3122384937238494","153438.0"
"01775","0.07387518142235124","0.15890645023494232","0.3216574113626655","137551.0"
"01776","0.03405692767748367","0.07016810236681442","0.36765074851551394","165745.0"
"01778","0.0664278250485147","0.05964385325037545","0.3527140098691268","143616.0"
"01801","0.34973746525275407","0.3228289382852409","0.23136131437249757","80266.0"
"01803","0.22399365457069204","0.23148249154576198","0.2638267699356387","94518.0"
"01810","0.153289794921875","0.10909815733522324","0.3283575478384125","129082.0"
"01821","0.15054762057259977","0.3388325445120577","0.21433400946585532","93307.0"
"01824","0.10004741583688952","0.20449930533290583","0.2927220262904777","105010.0"
