"zip","renter","mortgage","hs_graduate","college_graduate","median_income","household_size"
"01475","0.23264430577223089","0.7324818778046255","0.35694089134239937","0.12319913827925139","28534.0","2.61"
"01501","0.11486060300239687","0.6638241425052113","0.31311988863755","0.22803201670436749","33397.0","2.56"
"01503","0.11766712141882674","","0.2391304347826087","0.2966485507246377","36992.0","2.74"
"01504","0.22512912643161914","0.7699530516431925","0.33908329226219813","0.19073435189748644","","2.71"
"01505","0.08057521113900935","0.662020905923345","0.174294670846395","0.32539184952978056","","2.73"
"01506","0.18311138014527845","0.5940054495912807","0.35602094240837695","0.21949254933548126","","2.45"
"01507","0.12724180581323438","0.7767551932684723","0.3218982902235861","0.20670758439281017","","2.75"
"01510","0.43429876925344535","0.7079240340537001","0.29648292883587","0.23087206910736321","31641.0","2.43"
"01515","0.1837763519706691","","0.3894802755165936","0.2298058860363181","31829.0","2.66"
"01516","0.15620641562064155","0.7930232558139535","0.27406874212704696","0.26956991182292606","","2.79"
"01518","0.23607336956521738","","0.29004130335016065","0.27397888939880677","","2.43"
"01519","0.1398161586840832","0.7814854682454252","0.175454341485304","0.34574826116221674","","2.64"
"01520","0.07700695106991959","0.7314067148321292","0.19156126291397121","0.29439026745196484","","2.85"
"01521","0.14366653176851477","","0.31790963527490473","0.20087098530212302","32990.0","2.5"
"01522","0.10814332247557003","","0.24339622641509434","0.24433962264150944","48355.0","2.71"
"01523","0.16682242990654206","0.7027612344342177","0.24566900110578696","0.20880943604865462","","2.85"
"01524","0.18711608127264137","0.7804495556717198","0.3397475687978481","0.17856403889923442","","2.45"
"01525","","","","","","1.89"
"01527","0.24006698127568885","0.7050359712230215","0.3446731363975685","0.20816892396288791","","2.56"
"01529","0.19077700568540745","","0.31508739650413986","0.17111315547378106","34098.0","3.02"
"01531","0.07664562669071236","","","","","2.89"
"01532","0.15423916045291355","0.739172281039461","0.17595162569389375","0.29589611419508327","","2.86"
"01534","0.21293888166449934","0.8604218362282878","0.35147817925856406","0.20694509619896762","","2.89"
